common_name,superspecies,scientific_name
banteng,artiodactyla-bovidae,Bos javanicus
Sumatran serow,artiodactyla-bovidae,Capricornis sumatraensis sumatraensis
Bornean yellow muntjac,artiodactyla-cervidae,Muntiacus atherodes
southern red muntjac,artiodactyla-cervidae,Muntiacus muntjak
sambar,artiodactyla-cervidae,Rusa unicolor
Bornean bearded pig,artiodactyla-suidae,Sus barbatus
banded pig,artiodactyla-suidae,Sus scrofa vittatus
dhole,carnivora-canidae,Cuon alpinus
Asian palm civet,carnivora-feliformia-viverridae,Paradoxurus hermaphroditus
banded linsang,carnivora-feliformia-prionodontidae,Prionodon linsang
banded palm civet,carnivora-feliformia-viverridae,Hemigalus derbyanus
bay cat,carnivora-feliformia-felidae,Catopuma badia
binturong,carnivora-feliformia-viverridae,Arctictis binturong
collared mongoose,carnivora-feliformia-herpestidae,Urva semitorquata
flat-headed cat,carnivora-feliformia-felidae,Prionailurus planiceps
Asian palm civet,carnivora-feliformia-viverridae,Paradoxurus hermaphroditus
Sunda leopard cat,carnivora-feliformia-felidae,Prionailurus javanensis
Malayan civet,carnivora-feliformia-viverridae,Viverra tangalunga
marbled cat,carnivora-feliformia-felidae,Pardofelis marmorata
masked palm civet,carnivora-feliformia-viverridae,Paguma larvata
otter civet,carnivora-feliformia-viverridae,Cynogale bennettii
short-tailed mongoose,carnivora-feliformia-herpestidae,Urva brachyura
small-toothed palm civet,carnivora-feliformia-viverridae,Arctogalidia trivirgata
Sunda clouded leopard,carnivora-feliformia-felidae,Neofelis diardi
Asian golden cat,carnivora-feliformia-felidae,Catopuma temminckii
Sunda stink badger,carnivora-mephitidae,Mydaus javanensis
Malayan weasel,carnivora-mustelidae,Mustela nudipes
yellow-throated marten,carnivora-mustelidae,Martes flavigula
sun bear,carnivora-ursidae,Helarctos malayanus
moonrat,eulipotyphla,Echinosorex gymnura
Malayan tapir,perissodactyla-tapiridae,Tapirus indicus
Sunda pangolin,pholidota,Manis javanica
long-tailed macaque,primates,Macaca fascicularis
proboscis monkey,primates,Nasalis larvatus
red leaf monkey,primates,Presbytis rubicunda
southern pig-tailed macaque,primates,Macaca nemestrina
black-crested Sumatran langur,primates,Presbytis melalophos
Asian elephant,proboscidea,Elephas maximus
horse-tailed squirrel,rodentia,Sundasciurus hippurus
long-tailed porcupine,rodentia,Trichys fasciculata
Malayan porcupine,rodentia,Hystrix brachyura
thick-spined porcupine,rodentia,Hystrix crassispinis
three-striped ground squirrel,rodentia,Lariscus insignis
tufted ground squirrel,rodentia,Rheithrosciurus macrotis
Hoogerwerf’s rat,rodentia,Rattus hoogerwerfi
jaguar,carnivora-feliformia-felidae,Panthera onca
