superspecies,scientific_name,common_name,emoji
artiodactyla-bovidae,bovids,"cattle, antelopes, goats, and others",🐮
artiodactyla-cervidae,cervids,deer,🦌
artiodactyla-suidae,suids,pigs,🐖
carnivora-canidae,canids,dogs,🐕
carnivora-feliformia-felidae,felids,cats,🐈
carnivora-feliformia-herpestidae,herpestids,mongooses and others,🐾
carnivora-feliformia-prionodontidae,prionodons,linsangs,🐆
carnivora-feliformia-viverridae,viverrids,civets and others,🐱
carnivora-mephitidae,mephitids,skunks and stink badgers,🦨
carnivora-mustelidae,mustelids,"weasels, otters, martens and others",🦦
carnivora-ursidae,ursids,bears,🐻
eulipotyphla,eulipotyphlans,"hedgehogs, moles, shrews, and others",🦔
perissodactyla-tapiridae,tapirs,tapirs,👃
pholidota,pholidotans,pangolins,🌀
primates,primates,primates,🐒
proboscidea,elephants,elephants,🐘
rodentia,rodents,rodents,🐿️
